"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","Year First Published","Crystal Systems","Space Groups","Oldest Known Age (Ma)","IMA Mineral Symbol","Paragenetic Modes"
"Kuznetsovite","Kuznetsovite","Hg1+2Hg2+(As5+O4)Cl","Hg1+2Hg2+(AsO4)Cl","Hg^1+^_2_Hg^2+^(As^5+^O_4_)Cl","Hg^1+^_2_Hg^2+^(AsO_4_)Cl","Hg As O Cl","1980","cubic","P2_13","365.5","Kzn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Kvanefjeldite","Kvanefjeldite","Na4CaSi6O14(OH)2","Na4CaSi6O14(OH)2","Na_4_CaSi_6_O_14_(OH)_2_","Na_4_CaSi_6_O_14_(OH)_2_","Na Ca Si O H","1982","orthorhombic","Pcab","1160","Kva","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Kyanite","Kyanite","Al2OSiO4","Al2OSiO4","Al_2_OSiO_4_","Al_2_OSiO_4_","Al O Si","1789","triclinic","P-1","4000","Ky","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
"Kyanoxalite","Kyanoxalite","Na7(Al5-6Si6-7O24)((C2)6+O4)0.5-1.0·5H2O","Na7(Al5-6Si6-7O24)(C2O4)0.5-1.0·5H2O","Na_7_(Al_5-6_Si_6-7_O_24_)((C_2_)^6+^O_4_)_0.5-1.0_·5H_2_O","Na_7_(Al_5-6_Si_6-7_O_24_)(C_2_O_4_)_0.5-1.0_·5H_2_O","Na Al Si O C H","2008","hexagonal","P6_3","370","Kox","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Kyawthuite","Kyawthuite","Bi3+Sb5+O4","Bi3+Sb5+O4","Bi^3+^Sb^5+^O_4_","Bi^3+^Sb^5+^O_4_","Bi Sb O","2015","monoclinic","I2/c","32","Kyw","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Kyrgyzstanite","Kyrgyzstanite","Zn2+Al4S6+O4(OH)12·3H2O","ZnAl4(SO4)(OH)12·3H2O","Zn^2+^Al_4_S^6+^O_4_(OH)_12_·3H_2_O","ZnAl_4_(SO_4_)(OH)_12_·3H_2_O","Zn Al S O H","2004","monoclinic","P2_1/n","20.2","Kyr","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Kyzylkumite","Kyzylkumite","Ti4+2V3+O5(OH)","Ti2V3+O5(OH)","Ti^4+^_2_V^3+^O_5_(OH)","Ti_2_V^3+^O_5_(OH)","Ti V O H","1980","monoclinic","P2_1/c","2500","Kyz","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Laachite","Laachite","(Ca,Mn2+)2Zr4+2Nb5+2Ti4+Fe2+O14","(Ca,Mn)2Zr2Nb2TiFeO14","(Ca,Mn^2+^)_2_Zr^4+^_2_Nb^5+^_2_Ti^4+^Fe^2+^O_14_","(Ca,Mn)_2_Zr_2_Nb_2_TiFeO_14_","Ca Mn Zr Nb Ti Fe O","2012","monoclinic","C2/c","500","Laa","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
"Labradorite","Labradorite","Na0.5-0.3Ca0.5-0.7Al1.5-1.7Si2.5-2.3O8","(Ca,Na)(Si,Al)4O8","Na_0.5-0.3_Ca_0.5-0.7_Al_1.5-1.7_Si_2.5-2.3_O_8_","(Ca,Na)(Si,Al)_4_O_8_","Ca Na Si Al O","","triclinic","C-1","","",""
"Labuntsovite-Fe","Labuntsovite-Fe","Na4K4Fe2+2Ti4+8(Si4O12)4(O,OH)8·10-12H2O","Na4K4Fe2+2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na_4_K_4_Fe^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(O,OH)_8_·10-12H_2_O","Na_4_K_4_Fe^2+^_2_Ti_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O","Na K Fe Ti O Si H","1998","monoclinic","C2/m","500","Lab-Fe","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Labuntsovite-Mg","Labuntsovite-Mg","Na4K4Mg2Ti4+8O4(Si4O12)4(OH)4·10-12H2O","Na4K4Mg2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na_4_K_4_Mg_2_Ti^4+^_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O","Na_4_K_4_Mg_2_Ti_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O","Na K Mg Ti O Si H","1998","monoclinic","C2/m","500","Lab-Mg","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Labuntsovite-Mn","Labuntsovite-Mn","Na4K4Mn2+2Ti4+8O4(Si4O12)4(OH)4·10-12H2O","Na4K4Mn2+2Ti8O4(Si4O12)4(OH)4·10-12H2O","Na_4_K_4_Mn^2+^_2_Ti^4+^_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O","Na_4_K_4_Mn^2+^_2_Ti_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O","Na K Mn Ti O Si H","1955","monoclinic","C2/m|B2/m","500","Lab-Mn","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Labyrinthite","Labyrinthite","(Na,K,Sr)35Ca12Fe2+3Zr4+6Ti4+Si51O144(O,OH,H2O)9Cl3","(Na,K,Sr)35Ca12Fe3Zr6TiSi51O144(O,OH,H2O)9Cl3","(Na,K,Sr)_35_Ca_12_Fe^2+^_3_Zr^4+^_6_Ti^4+^Si_51_O_144_(O,OH,H_2_O)_9_Cl_3_","(Na,K,Sr)_35_Ca_12_Fe_3_Zr_6_TiSi_51_O_144_(O,OH,H_2_O)_9_Cl_3_","Na K Sr Ca Fe Zr Ti Si O H Cl","2002","hexagonal","R3","413.6","Lby","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Lacroixite","Lacroixite","NaAl(PO4)F","NaAl(PO4)F","NaAl(PO_4_)F","NaAl(PO_4_)F","Na Al P O F","1914","monoclinic","C2/c","1800","Lac","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
"Laffittite","Laffittite","Ag1+Hg2+As3+S2-3","AgHgAsS3","Ag^1+^Hg^2+^As^3+^S^2-^_3_","AgHgAsS_3_","Ag Hg As S","1973","monoclinic","Aa","273.4","Lft","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Laflammeite","Laflammeite","Pd3Pb2S2","Pd3Pb2S2","Pd_3_Pb_2_S_2_","Pd_3_Pb_2_S_2_","Pd Pb S","2000","monoclinic","C2/m","1109","Lfl","Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
"Laforêtite","Laforetite","Ag1+In3+S2-2","AgInS2","Ag^1+^In^3+^S^2-^_2_","AgInS_2_","Ag In S","1995","tetragonal","I-42d","","Laf","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Lafossaite","Lafossaite","Tl1+Cl","TlCl","Tl^1+^Cl","TlCl","Tl Cl","2003","cubic","Pm3m","5.1","Lfs","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Lagalyite","Lagalyite","Ca2xMn4+1-xO2·1.5-2H2O (x = 0.05-0.08)","Ca2xMn1-xO2·1.5-2H2O (x = 0.05-0.08)","Ca_2x_Mn^4+^_1-x_O_2_·1.5-2H_2_O (x = 0.05-0.08)","Ca_2x_Mn_1-x_O_2_·1.5-2H_2_O (x = 0.05-0.08)","Ca Mn O H","2017","monoclinic","C2","461","Lag","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lahnsteinite","Lahnsteinite","Zn2+4(S6+O4)(OH)6·3H2O","Zn4(SO4)(OH)6·3H2O","Zn^2+^_4_(S^6+^O_4_)(OH)_6_·3H_2_O","Zn_4_(SO_4_)(OH)_6_·3H_2_O","Zn S O H","2012","triclinic","P1","354","Lah","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Laihunite","Laihunite","(Fe3+,Fe2+,[box])2SiO4","(Fe3+,Fe2+,[box])2(SiO4)","(Fe^3+^,Fe^2+^,[box])_2_SiO_4_","(Fe^3+^,Fe^2+^,[box])_2_(SiO_4_)","Fe Si O","1976","monoclinic","P2_1/b","1079","Lai","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Laitakarite","Laitakarite","Bi4Se3","Bi4(Se,S)3","Bi_4_Se_3_","Bi_4_(Se,S)_3_","Bi Se S","1959","hexagonal","R-3m","2724","Ltk","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Lakargiite","Lakargiite","CaZr4+O3","CaZrO3","CaZr^4+^O_3_","CaZrO_3_","Ca Zr O","2007","orthorhombic","Pnma|Pbnm","354","Lak","Abiotic, Biotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM51 - Pyrometamorphic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Lakebogaite","Lakebogaite","NaCaFe3+2H(U6+O2)2(PO4)4(OH)2·8H2O","NaCaFe2H(UO2)2(PO4)4(OH)2·8H2O","NaCaFe^3+^_2_H(U^6+^O_2_)_2_(PO_4_)_4_(OH)_2_·8H_2_O","NaCaFe_2_H(UO_2_)_2_(PO_4_)_4_(OH)_2_·8H_2_O","Na Ca Fe H U O P","2007","monoclinic","Cc","398","Lbg","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lalondeite","Lalondeite","(Na,Ca)6(Ca,Na)3Si16O38(F,OH)2·3H2O","(Na,Ca)6(Ca,Na)3Si16O38(F,OH)2·3H2O","(Na,Ca)_6_(Ca,Na)_3_Si_16_O_38_(F,OH)_2_·3H_2_O","(Na,Ca)_6_(Ca,Na)_3_Si_16_O_38_(F,OH)_2_·3H_2_O","Na Ca Si O F H","2002","triclinic","P-1","124","Lal","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Lammerite","Lammerite","Cu2+3(As5+O4)2","Cu3(AsO4)2","Cu^2+^_3_(As^5+^O_4_)_2_","Cu_3_(AsO_4_)_2_","Cu As O","1980","monoclinic","P2_1/a","600","Lmr","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Lamprophyllite","Lamprophyllite","(SrNa)Ti4+2Na3Ti4+(Si2O7)2O2(OH)2","(SrNa)Ti2Na3Ti(Si2O7)2O2(OH)2","(SrNa)Ti^4+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_O_2_(OH)_2_","(SrNa)Ti_2_Na_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_","Sr Na Ti Si O H","1894","monoclinic|orthorhombic","C2/m|Pnmn","2500","Lmp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Lanarkite","Lanarkite","Pb2+2O(S6+O4)","Pb2O(SO4)","Pb^2+^_2_O(S^6+^O_4_)","Pb_2_O(SO_4_)","Pb O S","1832","monoclinic","C2/m","1898","Lan","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Landauite","Landauite","(Na,Pb2+)(Mn2+,Y)(Zn2+,Fe2+)2(Ti4+,Fe3+,Nb5+)18(O,OH,F)O38","(Na,Pb)(Mn2+,Y)(Zn,Fe)2(Ti,Fe3+,Nb)18(O,OH,F)O38","(Na,Pb^2+^)(Mn^2+^,Y)(Zn^2+^,Fe^2+^)_2_(Ti^4+^,Fe^3+^,Nb^5+^)_18_(O,OH,F)O_38_","(Na,Pb)(Mn^2+^,Y)(Zn,Fe)_2_(Ti,Fe^3+^,Nb)_18_(O,OH,F)O_38_","Na Pb Mn Y Zn Fe Ti Nb O H F","1965","hexagonal","R-3","390","Lda","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Landesite","Landesite","Mn2+9Fe3+3(PO4)8(OH)3·9H2O","Mn2+9Fe3+3(PO4)8(OH)3·9H2O","Mn^2+^_9_Fe^3+^_3_(PO_4_)_8_(OH)_3_·9H_2_O","Mn^2+^_9_Fe^3+^_3_(PO_4_)_8_(OH)_3_·9H_2_O","Mn Fe P O H","1930","orthorhombic","Pbna","950","Lds","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Långbanite","Langbanite","Mn2+4Mn3+9Sb5+O16(SiO4)2","Mn2+4Mn3+9Sb5+O16(SiO4)2","Mn^2+^_4_Mn^3+^_9_Sb^5+^O_16_(SiO_4_)_2_","Mn^2+^_4_Mn^3+^_9_Sb^5+^O_16_(SiO_4_)_2_","Mn Sb O Si","1888","hexagonal|monoclinic","P31m|C2/m","1890","Lgb","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Långbanshyttanite","Langbanshyttanite","Pb2+2Mn2+2Mg(As5+O4)2(OH)4·6H2O","Pb2Mn2Mg(AsO4)2(OH)4·6H2O","Pb^2+^_2_Mn^2+^_2_Mg(As^5+^O_4_)_2_(OH)_4_·6H_2_O","Pb_2_Mn_2_Mg(AsO_4_)_2_(OH)_4_·6H_2_O","Pb Mn Mg As O H","2010","triclinic","P-1","1898","Lbs","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Langbeinite","Langbeinite","K2Mg2(S6+O4)3","K2Mg2(SO4)3","K_2_Mg_2_(S^6+^O_4_)_3_","K_2_Mg_2_(SO_4_)_3_","K Mg S O","1891","cubic","P2_13","313","Lbn","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Langhofite","Langhofite","Pb2+2(OH)[W6+O4(OH)]","Pb2(OH)[WO4(OH)]","Pb^2+^_2_(OH)[W^6+^O_4_(OH)]","Pb_2_(OH)[WO_4_(OH)]","Pb O H W","2019","triclinic","P-1","","Lhf","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Langisite","Langisite","CoAs","CoAs","CoAs","CoAs","Co As","1968","orthorhombic","Pnma","2211","Lgi","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Langite","Langite","Cu2+4S6+O4(OH)6·2H2O","Cu4(SO4)(OH)6·2H2O","Cu^2+^_4_S^6+^O_4_(OH)_6_·2H_2_O","Cu_4_(SO_4_)(OH)_6_·2H_2_O","Cu S O H","1864","monoclinic","Pc","2222.9","Lgt","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM56 - Slag and smelter minerals"
"Lanmuchangite","Lanmuchangite","Tl1+Al(S6+O4)2·12H2O","TlAl(SO4)2·12H2O","Tl^1+^Al(S^6+^O_4_)_2_·12H_2_O","TlAl(SO_4_)_2_·12H_2_O","Tl Al S O H","2001","cubic","Pa3","260","Lmh","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lannonite","Lannonite","HCa4Mg2Al4(S6+O4)8F9·32H2O","HCa4Mg2Al4(SO4)8F9·32H2O","HCa_4_Mg_2_Al_4_(S^6+^O_4_)_8_F_9_·32H_2_O","HCa_4_Mg_2_Al_4_(SO_4_)_8_F_9_·32H_2_O","H Ca Mg Al S O F","1979","tetragonal","","0","Lnn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Lansfordite","Lansfordite","MgCO3·5H2O","Mg(CO3)·5H2O","MgCO_3_·5H_2_O","Mg(CO_3_)·5H_2_O","Mg C O H","1888","monoclinic","P2_1/c","780","Lfd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Lanthanite-(Ce)","Lanthanite-(Ce)","Ce3+2(CO3)3·8H2O","Ce2(CO3)3·8H2O","Ce^3+^_2_(CO_3_)_3_·8H_2_O","Ce_2_(CO_3_)_3_·8H_2_O","Ce C O H","1983","orthorhombic","Pbnb","2100","Ltn-Ce","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lanthanite-(La)","Lanthanite-(La)","La2(CO3)3·8H2O","La2(CO3)3·8H2O","La_2_(CO_3_)_3_·8H_2_O","La_2_(CO_3_)_3_·8H_2_O","La C O H","1845","orthorhombic","Pbnb|Pccn","485","Ltn-La","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lanthanite-(Nd)","Lanthanite-(Nd)","Nd2(CO3)3·8H2O","Nd2(CO3)3·8H2O","Nd_2_(CO_3_)_3_·8H_2_O","Nd_2_(CO_3_)_3_·8H_2_O","Nd C O H","1979","orthorhombic","Pbnb|Pccn","923","Ltn-Nd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Lapeyreite","Lapeyreite","Cu2+3O[As5+O3(OH)]2·H2O","Cu3O[AsO3(OH)]2·H2O","Cu^2+^_3_O[As^5+^O_3_(OH)]_2_·H_2_O","Cu_3_O[AsO_3_(OH)]_2_·H_2_O","Cu O As H","2003","monoclinic","C2/m","251","Lpy","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Laphamite","Laphamite","As2Se3","As2Se3","As_2_Se_3_","As_2_Se_3_","As Se","1985","monoclinic","P2_1/n","0","Lpm","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Lapieite","Lapieite","Cu1+Ni2+Sb3+S2-3","CuNiSbS3","Cu^1+^Ni^2+^Sb^3+^S^2-^_3_","CuNiSbS_3_","Cu Ni Sb S","1983","orthorhombic","P2_12_12_1","354","Lap","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Laplandite-(Ce)","Laplandite-(Ce)","Na4Ce3+Ti4+PSi7O22·5H2O","Na4CeTiPSi7O22·5H2O","Na_4_Ce^3+^Ti^4+^PSi_7_O_22_·5H_2_O","Na_4_CeTiPSi_7_O_22_·5H_2_O","Na Ce Ti P Si O H","1974","orthorhombic","Pmmm","370","Lpl-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Laptevite-(Ce)","Laptevite-(Ce)","NaFe2+(Ce3+7Ca5Y3)(SiO4)4(Si3B2PO18)(BO3)F11","NaFe2+(REE7Ca5Y3)(SiO4)4(Si3B2PO18)(BO3)F11","NaFe^2+^(Ce^3+^_7_Ca_5_Y_3_)(SiO_4_)_4_(Si_3_B_2_PO_18_)(BO_3_)F_11_","NaFe^2+^(REE_7_Ca_5_Y_3_)(SiO_4_)_4_(Si_3_B_2_PO_18_)(BO_3_)F_11_","Na Fe REE Ca Y Si O B P F","2011","hexagonal","R3m","359","Lpt-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Larderellite","Larderellite","N3-H4B5O7(OH)2·H2O","(NH4)B5O7(OH)2·H2O","N^3-^H_4_B_5_O_7_(OH)_2_·H_2_O","(NH_4_)B_5_O_7_(OH)_2_·H_2_O","N H B O","1854","monoclinic","P2_1/c","3","Ldr","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM57 - Other minerals formed by human processes"
"Larisaite","Larisaite","Na(H3O)(U6+O2)3(Se4+O3)2O2·4H2O","Na(H3O)(UO2)3(Se4+O3)2O2·4H2O","Na(H_3_O)(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·4H_2_O","Na(H_3_O)(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·4H_2_O","Na H O U Se","2002","monoclinic","Pm:1","","Ls","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Larnite","Larnite","Ca2SiO4","Ca2(SiO4)","Ca_2_SiO_4_","Ca_2_(SiO_4_)","Ca Si O","1929","monoclinic","P2_1/n","354","Lrn","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM51 - Pyrometamorphic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Larosite","Larosite","(Cu1+,Ag1+)21Pb2+Bi3+S2-13","(Cu,Ag)21PbBiS13","(Cu^1+^,Ag^1+^)_21_Pb^2+^Bi^3+^S^2-^_13_","(Cu,Ag)_21_PbBiS_13_","Cu Ag Pb Bi S","1971","orthorhombic","","2211","Lar","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Larsenite","Larsenite","Pb2+Zn2+SiO4","ZnPb(SiO4)","Pb^2+^Zn^2+^SiO_4_","ZnPb(SiO_4_)","Zn Pb Si O","1928","orthorhombic","Pna2_1","1349","Lsn","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Lasalite","Lasalite","Na2Mg2[V5+10O28]·20H2O","Na2Mg2V10O28·20H2O","Na_2_Mg_2_[V^5+^_10_O_28_]·20H_2_O","Na_2_Mg_2_V_10_O_28_·20H_2_O","Na Mg V O H","2007","monoclinic","C2/c","","Las","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Lasmanisite","Lasmanisite","Ag1+12Pb2+13Mn2+11Sb3+44S2-96","Ag12Pb13Mn11Sb44S96","Ag^1+^_12_Pb^2+^_13_Mn^2+^_11_Sb^3+^_44_S^2-^_96_","Ag_12_Pb_13_Mn_11_Sb_44_S_96_","Ag Pb Mn Sb S","2023","orthorhombic","P2_12_12_1","","Lmn",""
"Lasnierite","Lasnierite","(Ca,Sr)(Mg,Fe2+)2Al(PO4)3","(Ca,Sr)(Mg,Fe2+)2Al(PO4)3","(Ca,Sr)(Mg,Fe^2+^)_2_Al(PO_4_)_3_","(Ca,Sr)(Mg,Fe^2+^)_2_Al(PO_4_)_3_","Ca Sr Mg Fe Al P O","2018","orthorhombic","Pbcn","","Lnr","Abiotic, Biotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Latiumite","Latiumite","(Ca,K)4(Si,Al)5O11(S6+O4,CO3)","(Ca,K)4(Si,Al)5O11(SO4,CO3)","(Ca,K)_4_(Si,Al)_5_O_11_(S^6+^O_4_,CO_3_)","(Ca,K)_4_(Si,Al)_5_O_11_(SO_4_,CO_3_)","Ca K Si Al O S C","1953","monoclinic","P2_1","","Lat","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Latrappite","Latrappite","Ca2Fe3+Nb5+O6","Ca2NbFe3+O6","Ca_2_Fe^3+^Nb^5+^O_6_","Ca_2_NbFe^3+^O_6_","Ca Nb Fe O","1964","orthorhombic","Pbnm","121","Ltp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Laueite","Laueite","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O","Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O","Mn Fe P O H","1954","triclinic","P-1","2527","Lae","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Laumontite","Laumontite","Ca(Si4Al2)O12·4H2O","CaAl2Si4O12·4H2O","Ca(Si_4_Al_2_)O_12_·4H_2_O","CaAl_2_Si_4_O_12_·4H_2_O","Ca Al Si O H","1805","monoclinic","C2/m","2906","Lmt","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Launayite","Launayite","Cu1+Pb2+10(Sb3+,As3+)13S2-30","CuPb10(Sb,As)13S20","Cu^1+^Pb^2+^_10_(Sb^3+^,As^3+^)_13_S^2-^_30_","CuPb_10_(Sb,As)_13_S_20_","Cu Pb Sb As S","1966","monoclinic","","1686","Lau","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
